,word,score
21184,convince,1.0
21185,convinced,1.0
21186,convinces,1.0
21187,convivial,2.0
21188,cool,1.0
21189,cool stuff,3.0
21190,cornered,-2.0
21191,corpse,-1.0
21192,costly,-2.0
21193,courage,2.0
21194,courageous,2.0
21195,courteous,2.0
21196,courtesy,2.0
21197,cover-up,-3.0
21198,coward,-2.0
21199,cowardly,-2.0
21200,coziness,2.0
21201,cramp,-1.0
21202,crap,-3.0
21203,crash,-2.0
21204,crazier,-2.0
21205,craziest,-2.0
21206,crazy,-2.0
21207,creative,2.0
21208,crestfallen,-2.0
21209,cried,-2.0
21210,cries,-2.0
21211,crime,-3.0
21212,criminal,-3.0
21213,criminals,-3.0
21214,crisis,-3.0
21215,critic,-2.0
21216,criticism,-2.0
21217,criticize,-2.0
21218,criticized,-2.0
21219,criticizes,-2.0
21220,criticizing,-2.0
21221,critics,-2.0
21222,cruel,-3.0
21223,cruelty,-3.0
21224,crush,-1.0
21225,crushed,-2.0
21226,crushes,-1.0
21227,crushing,-1.0
21228,cry,-1.0
21229,crying,-2.0
21230,cunt,-5.0
21231,curious,1.0
21232,curse,-1.0
21233,cut,-1.0
21234,cute,2.0
21235,cuts,-1.0
21236,cutting,-1.0
21237,cynic,-2.0
21238,cynical,-2.0
21239,cynicism,-2.0
21240,damage,-3.0
21241,damages,-3.0
21242,damn,-4.0
21243,damned,-4.0
21244,damnit,-4.0
21245,danger,-2.0
21246,daredevil,2.0
21247,daring,2.0
21248,darkest,-2.0
21249,darkness,-1.0
21250,dauntless,2.0
21251,dead,-3.0
21252,deadlock,-2.0
21253,deafening,-1.0
21254,dear,2.0
21255,dearly,3.0
21256,death,-2.0
21257,debonair,2.0
21258,debt,-2.0
21259,deceit,-3.0
21260,deceitful,-3.0
21261,deceive,-3.0
21262,deceived,-3.0
21263,deceives,-3.0
21264,deceiving,-3.0
21265,deception,-3.0
21266,decisive,1.0
21267,dedicated,2.0
21268,defeated,-2.0
21269,defect,-3.0
21270,defects,-3.0
21271,defender,2.0
21272,defenders,2.0
21273,defenseless,-2.0
21274,defer,-1.0
21275,deferring,-1.0
21276,defiant,-1.0
21277,deficit,-2.0
21278,degrade,-2.0
21279,degraded,-2.0
21280,degrades,-2.0
21281,dehumanize,-2.0
21282,dehumanized,-2.0
21283,dehumanizes,-2.0
21284,dehumanizing,-2.0
21285,deject,-2.0
21286,dejected,-2.0
21287,dejecting,-2.0
21288,dejects,-2.0
21289,delay,-1.0
21290,delayed,-1.0
21291,delight,3.0
21292,delighted,3.0
21293,delighting,3.0
21294,delights,3.0
21295,demand,-1.0
21296,demanded,-1.0
21297,demanding,-1.0
21298,demands,-1.0
21299,demonstration,-1.0
21300,demoralized,-2.0
21301,denied,-2.0
21302,denier,-2.0
21303,deniers,-2.0
21304,denies,-2.0
21305,denounce,-2.0
21306,denounces,-2.0
21307,deny,-2.0
21308,denying,-2.0
21309,depressed,-2.0
21310,depressing,-2.0
21311,derail,-2.0
21312,derailed,-2.0
21313,derails,-2.0
21314,deride,-2.0
21315,derided,-2.0
21316,derides,-2.0
21317,deriding,-2.0
21318,derision,-2.0
21319,desirable,2.0
21320,desire,1.0
21321,desired,2.0
21322,desirous,2.0
21323,despair,-3.0
21324,despairing,-3.0
21325,despairs,-3.0
21326,desperate,-3.0
21327,desperately,-3.0
21328,despondent,-3.0
21329,destroy,-3.0
21330,destroyed,-3.0
21331,destroying,-3.0
21332,destroys,-3.0
21333,destruction,-3.0
21334,destructive,-3.0
21335,detached,-1.0
21336,detain,-2.0
21337,detained,-2.0
21338,detention,-2.0
21339,determined,2.0
21340,devastate,-2.0
21341,devastated,-2.0
21342,devastating,-2.0
21343,devoted,3.0
21344,diamond,1.0
21345,dick,-4.0
21346,dickhead,-4.0
21347,die,-3.0
21348,died,-3.0
21349,difficult,-1.0
21350,diffident,-2.0
21351,dilemma,-1.0
21352,dipshit,-3.0
21353,dire,-3.0
21354,direful,-3.0
21355,dirt,-2.0
21356,dirtier,-2.0
21357,dirtiest,-2.0
21358,dirty,-2.0
21359,disabling,-1.0
21360,disadvantage,-2.0
21361,disadvantaged,-2.0
21362,disappear,-1.0
21363,disappeared,-1.0
21364,disappears,-1.0
21365,disappoint,-2.0
21366,disappointed,-2.0
21367,disappointing,-2.0
21368,disappointment,-2.0
21369,disappointments,-2.0
21370,disappoints,-2.0
21371,disaster,-2.0
21372,disasters,-2.0
21373,disastrous,-3.0
21374,disbelieve,-2.0
21375,discard,-1.0
21376,discarded,-1.0
21377,discarding,-1.0
21378,discards,-1.0
21379,disconsolate,-2.0
21380,disconsolation,-2.0
21381,discontented,-2.0
21382,discord,-2.0
21383,discounted,-1.0
21384,discouraged,-2.0
21385,discredited,-2.0
21386,disdain,-2.0
21387,disgrace,-2.0
21388,disgraced,-2.0
21389,disguise,-1.0
21390,disguised,-1.0
21391,disguises,-1.0
21392,disguising,-1.0
21393,disgust,-3.0
21394,disgusted,-3.0
21395,disgusting,-3.0
21396,disheartened,-2.0
21397,dishonest,-2.0
21398,disillusioned,-2.0
21399,disinclined,-2.0
